Sex,Job,Housing,Credit amount,Duration,Purpose,Monthly_Payment,Loan Category,Age Group,Account Size,High Monthly_Payment,Prompt Length,Prediction Mistral,Prediction Mistral Small
male,skilled,own,1169,6,radio/TV,195.0,recreational,61_70,little,normal,192,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,skilled,own,5951,48,radio/TV,124.0,recreational,21_30,moderate,normal,193,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,unskilled and resident,own,2096,12,education,175.0,development,41_50,little,normal,193,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""bad\""\n}"",""stop_reason"":""length""}]}",bad
male,skilled,free,7882,42,furniture/equipment,188.0,maintenance,41_50,little,normal,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,free,4870,24,car,203.0,development,51_60,little,high,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,unskilled and resident,free,9055,36,education,252.0,development,31_40,no data,high,194,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""bad\""\n}"",""stop_reason"":""length""}]}",bad
male,skilled,own,2835,24,furniture/equipment,118.0,maintenance,51_60,quite rich,normal,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,highly skilled,rent,6948,36,car,193.0,development,31_40,moderate,normal,192,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,unskilled and resident,own,3059,12,radio/TV,255.0,recreational,61_70,rich,high,195,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""bad\""\n}"",""stop_reason"":""length""}]}",bad
male,highly skilled,own,5234,30,car,174.0,development,21_30,moderate,normal,192,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,skilled,rent,1295,12,car,108.0,development,21_30,moderate,normal,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,skilled,rent,4308,48,business,90.0,development,21_30,little,normal,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,skilled,own,1567,12,radio/TV,131.0,recreational,21_30,moderate,normal,193,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,unskilled and resident,own,1199,24,car,50.0,development,61_70,little,normal,193,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""potentially risky"",""stop_reason"":""length""}]}",bad
female,skilled,rent,1403,15,car,94.0,development,21_30,little,normal,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,unskilled and resident,own,1282,24,radio/TV,53.0,recreational,31_40,moderate,normal,196,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""bad\""\n}"",""stop_reason"":""length""}]}",bad
male,skilled,own,2424,24,radio/TV,101.0,recreational,51_60,no data,normal,193,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,8072,30,business,269.0,development,21_30,little,high,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,highly skilled,free,12579,24,car,524.0,development,41_50,moderate,high,192,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,3430,24,radio/TV,143.0,recreational,31_40,quite rich,normal,193,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,2134,9,car,237.0,development,41_50,little,high,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,rent,2647,6,radio/TV,441.0,recreational,41_50,quite rich,high,193,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,unskilled and resident,rent,2241,10,car,224.0,development,41_50,little,high,193,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""bad\""\n}"",""stop_reason"":""length""}]}",bad
male,skilled,own,1804,12,car,150.0,development,41_50,moderate,normal,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,2069,10,furniture/equipment,207.0,maintenance,21_30,no data,normal,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,unskilled and resident,own,1374,6,furniture/equipment,229.0,maintenance,31_40,little,high,193,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""bad\""\n}"",""stop_reason"":""length""}]}",bad
male,unskilled and resident,own,426,6,radio/TV,71.0,recreational,31_40,little,normal,195,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""bad\""\n}"",""stop_reason"":""length""}]}",bad
female,skilled,rent,409,12,radio/TV,34.0,recreational,41_50,rich,normal,192,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,2415,7,radio/TV,345.0,recreational,31_40,moderate,high,193,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,6836,60,business,114.0,development,61_70,little,normal,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,1913,18,business,106.0,development,31_40,rich,normal,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
